movieId,title
94,Beautiful Girls (1996)
95,Broken Arrow (1996)
101,Bottle Rocket (1996)
104,Happy Gilmore (1996)
122,Boomerang (1992)
125,Flirting With Disaster (1996)
132,Jade (1995)
150,Apollo 13 (1995)
153,Batman Forever (1995)
157,Canadian Bacon (1995)
158,Casper (1995)
163,Desperado (1995)
196,Species (1995)
206,Unzipped (1995)
210,Wild Bill (1995)
216,Billy Madison (1995)
252,I.Q. (1994)
253,Interview with the Vampire: The Vampire Chronicles (1994)
266,Legends of the Fall (1994)
271,Losing Isaiah (1995)
327,Tank Girl (1995)
329,Star Trek: Generations (1994)
332,Village of the Damned (1995)
357,Four Weddings and a Funeral (1994)
372,Reality Bites (1994)
374,Richie Rich (1994)
377,Speed (1994)
421,Black Beauty (1994)
435,Coneheads (1993)
445,Fatal Instinct (1993)
466,Hot Shots! Part Deux (1993)
474,In the Line of Fire (1993)
508,Philadelphia (1993)
521,Romeo Is Bleeding (1993)
524,Rudy (1993)
538,Six Degrees of Separation (1993)
541,Blade Runner (1982)
543,So I Married an Axe Murderer (1993)
586,Home Alone (1990)
587,Ghost (1990)
608,Fargo (1996)
628,Primal Fear (1996)
648,Mission: Impossible (1996)
719,Multiplicity (1996)
778,Trainspotting (1996)
836,Chain Reaction (1996)
838,Emma (1996)
886,Bulletproof (1996)
903,Vertigo (1958)
904,Rear Window (1954)
905,It Happened One Night (1934)
908,North by Northwest (1959)
911,Charade (1963)
912,Casablanca (1942)
920,Gone with the Wind (1939)
924,2001: A Space Odyssey (1968)
928,Rebecca (1940)
931,Spellbound (1945)
936,Ninotchka (1939)
949,East of Eden (1955)
953,It's a Wonderful Life (1946)
954,Mr. Smith Goes to Washington (1939)
955,Bringing Up Baby (1938)
968,Night of the Living Dead (1968)
1042,That Thing You Do! (1996)
1060,Swingers (1996)
1086,Dial M for Murder (1954)
1088,Dirty Dancing (1987)
1100,Days of Thunder (1990)
1103,Rebel Without a Cause (1955)
1178,Paths of Glory (1957)
1203,12 Angry Men (1957)
1214,Alien (1979)
1219,Psycho (1960)
1235,Harold and Maude (1971)
1242,Glory (1989)
1252,Chinatown (1974)
1256,Duck Soup (1933)
1266,Unforgiven (1992)
1270,Back to the Future (1985)
1290,Some Kind of Wonderful (1987)
1291,Indiana Jones and the Last Crusade (1989)
1297,Real Genius (1985)
1302,Field of Dreams (1989)
1345,Carrie (1976)
1356,Star Trek: First Contact (1996)
1358,Sling Blade (1996)
1370,Die Hard 2 (1990)
1378,Young Guns (1988)
1381,Grease 2 (1982)
1382,Marked for Death (1990)
1385,Under Siege (1992)
1388,Jaws 2 (1978)
1389,Jaws 3-D (1983)
1392,Citizen Ruth (1996)
1393,Jerry Maguire (1996)
1396,Sneakers (1992)
1404,Night Falls on Manhattan (1996)
1405,Beavis and Butt-Head Do America (1996)
1407,Scream (1996)
1438,Dante's Peak (1997)
1468,Booty Call (1997)
1485,Liar Liar (1997)
1515,Volcano (1997)
1526,Fathers' Day (1997)
1556,Speed 2: Cruise Control (1997)
1593,Picture Perfect (1997)
1603,Mimic (1997)
1617,L.A. Confidential (1997)
1620,Kiss the Girls (1997)
1623,Wishmaster (1997)
1644,I Know What You Did Last Summer (1997)
1662,Gang Related (1997)
1663,Stripes (1981)
1665,Bean (1997)
1667,Mad City (1997)
1680,Sliding Doors (1998)
1688,Anastasia (1997)
1690,Alien: Resurrection (1997)
1717,Scream 2 (1997)
1729,Jackie Brown (1997)
1746,Senseless (1998)
1779,Sphere (1998)
1784,As Good as It Gets (1997)
1805,Wild Things (1998)
1862,Species II (1998)
1876,Deep Impact (1998)
1881,Quest for Camelot (1998)
1884,Fear and Loathing in Las Vegas (1998)
1888,Hope Floats (1998)
1895,Can't Hardly Wait (1998)
1912,Out of Sight (1998)
1918,Lethal Weapon 4 (1998)
1920,Small Soldiers (1998)
1921,Pi (1998)
1927,All Quiet on the Western Front (1930)
1950,In the Heat of the Night (1967)
1952,Midnight Cowboy (1969)
1955,Kramer vs. Kramer (1979)
1958,Terms of Endearment (1983)
1961,Rain Man (1988)
